liver.WT.1292324	liver.WT.1292324	5153274	mouse	liver	Dchs1.WT	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292324_1_1_200821_D00362_0479_ACE867ANXX_L6.fq.gz
liver.WT.1292325	liver.WT.1292325	5144564	mouse	liver	Dchs1.WT	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292325_1_1_200821_D00362_0479_ACE867ANXX_L7.fq.gz
liver.WT.1292326	liver.WT.1292326	5153245	mouse	liver	Dchs1.WT	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292326_1_1_200821_D00362_0479_ACE867ANXX_L8.fq.gz
liver.Het.1292327	liver.Het.1292327	5153243	mouse	liver	Dchs1.Het	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292327_1_1_200821_D00362_0479_ACE867ANXX_L4.fq.gz
liver.WT.1292328	liver.WT.1292328	5153256	mouse	liver	Dchs1.WT	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292328_1_1_200821_D00362_0479_ACE867ANXX_L5.fq.gz
liver.WT.1292329	liver.WT.1292329	5153248	mouse	liver	Dchs1.WT	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292329_1_1_200821_D00362_0479_ACE867ANXX_L6.fq.gz
liver.Het.1292330	liver.Het.1292330	5153278	mouse	liver	Dchs1.Het	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292330_1_1_200821_D00362_0479_ACE867ANXX_L7.fq.gz
liver.WT.1292331	liver.WT.1292331	5144566	mouse	liver	Dchs1.WT	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292331_1_1_200821_D00362_0479_ACE867ANXX_L8.fq.gz
liver.Het.1292332	liver.Het.1292332	5144534	mouse	liver	Dchs1.Het	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292332_1_1_200821_D00362_0479_ACE867ANXX_L4.fq.gz
liver.WT.1292333	liver.WT.1292333	5153265	mouse	liver	Dchs1.WT	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292333_1_1_200821_D00362_0479_ACE867ANXX_L5.fq.gz
kidney.WT.1292334	kidney.WT.1292334	5144518	mouse	kidney	Dchs1.WT	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292334_1_1_200814_D00376_0520_ACEAK5ANXX_L3.fq.gz
kidney.Het.1292335	kidney.Het.1292335	5144533	mouse	kidney	Dchs1.Het	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292335_1_1_200814_D00376_0520_ACEAK5ANXX_L4.fq.gz
kidney.WT.1292336	kidney.WT.1292336	5153246	mouse	kidney	Dchs1.WT	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292336_1_1_200814_D00376_0520_ACEAK5ANXX_L5.fq.gz
kidney.Het.1292337	kidney.Het.1292337	5144551	mouse	kidney	Dchs1.Het	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292337_1_1_200814_D00376_0520_ACEAK5ANXX_L6.fq.gz
kidney.WT.1292338	kidney.WT.1292338	5144546	mouse	kidney	Dchs1.WT	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292338_1_1_200814_D00376_0520_ACEAK5ANXX_L7.fq.gz
kidney.WT.1292339	kidney.WT.1292339	5144538	mouse	kidney	Dchs1.WT	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292339_1_1_200814_D00376_0520_ACEAK5ANXX_L8.fq.gz
kidney.WT.1292340	kidney.WT.1292340	5144526	mouse	kidney	Dchs1.WT	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292340_1_1_200814_D00376_0520_ACEAK5ANXX_L3.fq.gz
kidney.Het.1292341	kidney.Het.1292341	5144548	mouse	kidney	Dchs1.Het	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292341_1_1_200814_D00376_0520_ACEAK5ANXX_L4.fq.gz
kidney.Het.1292342	kidney.Het.1292342	5144552	mouse	kidney	Dchs1.Het	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292342_1_1_200814_D00376_0520_ACEAK5ANXX_L5.fq.gz
kidney.Het.1292343	kidney.Het.1292343	5144520	mouse	kidney	Dchs1.Het	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292343_1_1_200814_D00376_0520_ACEAK5ANXX_L6.fq.gz
kidney.WT.1292344	kidney.WT.1292344	5144540	mouse	kidney	Dchs1.WT	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292344_1_1_200814_D00376_0520_ACEAK5ANXX_L7.fq.gz
kidney.WT.1292345	kidney.WT.1292345	5144554	mouse	kidney	Dchs1.WT	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292345_1_1_200814_D00376_0520_ACEAK5ANXX_L8.fq.gz
kidney.WT.1292346	kidney.WT.1292346	5144535	mouse	kidney	Dchs1.WT	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292346_1_1_200814_D00376_0520_ACEAK5ANXX_L3.fq.gz
kidney.Het.1292347	kidney.Het.1292347	5144539	mouse	kidney	Dchs1.Het	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292347_1_1_200814_D00376_0520_ACEAK5ANXX_L4.fq.gz
kidney.WT.1292348	kidney.WT.1292348	5144527	mouse	kidney	Dchs1.WT	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292348_1_1_200814_D00376_0520_ACEAK5ANXX_L5.fq.gz
kidney.WT.1292349	kidney.WT.1292349	5153244	mouse	kidney	Dchs1.WT	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292349_1_1_200814_D00376_0520_ACEAK5ANXX_L6.fq.gz
kidney.Het.1292350	kidney.Het.1292350	5153249	mouse	kidney	Dchs1.Het	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292350_1_1_200814_D00376_0520_ACEAK5ANXX_L7.fq.gz
kidney.WT.1292351	kidney.WT.1292351	5153257	mouse	kidney	Dchs1.WT	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292351_1_1_200814_D00376_0520_ACEAK5ANXX_L8.fq.gz
kidney.WT.1292352	kidney.WT.1292352	5153268	mouse	kidney	Dchs1.WT	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292352_1_1_200814_D00376_0520_ACEAK5ANXX_L3.fq.gz
kidney.Het.1292353	kidney.Het.1292353	5144537	mouse	kidney	Dchs1.Het	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292353_1_1_200814_D00376_0520_ACEAK5ANXX_L4.fq.gz
kidney.Het.1292354	kidney.Het.1292354	5144565	mouse	kidney	Dchs1.Het	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292354_1_1_200814_D00376_0520_ACEAK5ANXX_L5.fq.gz
kidney.Het.1292355	kidney.Het.1292355	5153266	mouse	kidney	Dchs1.Het	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292355_1_1_200814_D00376_0520_ACEAK5ANXX_L6.fq.gz
kidney.WT.1292356	kidney.WT.1292356	5153247	mouse	kidney	Dchs1.WT	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292356_1_1_200814_D00376_0520_ACEAK5ANXX_L7.fq.gz
